<sil>	SIL	sil
具眼	グガン	g u g a ng
具有	グユウ	g u y u u
朱欒	ザボン	z a b o ng
萬和	マンワ	m a ng w a
助言	ジョゲン	j o g e ng
犬来	イヌグ	i n u g u
犬田	イヌタ	i n u t a
犬目	イヌメ	i n u m e
羅山	ラザン	r a z a ng
萩尾	ハギオ	h a g i o
劫初	ゴウショ	g o u sh o
狂え	クルエ	k u r u e
越中	エッチュウ	e q ch u u
毎夜	マイヨ	m a i y o
墓域	ボイキ	b o i k i
知手	シッテ	sh i q t e
越井	コシイ	k o sh i i
六腑	ロップ	r o q p u
移入	イニュウ	i n y u u
母袋	モタイ	m o t a i
罰そ	バッソ	b a q s o
存ず	ゾンズ	z o ng z u
母船	ボセン	b o s e ng
移築	イチク	i ch i k u
狙い	ネライ	n e r a i
存せ	ソンセ	s o ng s e
六日	ムイカ	m u i k a
越戸	オツト	o ts u t o
置碁	オキゴ	o k i g o
置数	チスウ	ch i s u u
朴野	ホウノ	h o u n o
置戸	オケト	o k e t o
宗家	ソウケ	s o u k e
萌黄	モエギ	m o e g i
河童	カッパ	k a q p a
色瀬	イロセ	i r o s e
榎並	エナミ	e n a m i
萌子	モエコ	m o e k o
麻田	アサダ	a s a d a
萌出	モエデ	m o e d e
讒せ	ザンセ	z a ng s e
榎木	エノキ	e n o k i
越権	エッケン	e q k e ng
越生	オゴセ	o g o s e
存否	ソンピ	s o ng p i
六つ	ムッツ	m u q ts u
屠っ	ホフッ	h o f u q
行場	イキバ	i k i b a
行子	イクコ	i k u k o
行宮	アングウ	a ng g u u
越路	コイジ	k o i j i
麻寺	アサジ	a s a j i
問屋	トイヤ	t o i y a
毀っ	コボッ	k o b o q
行灯	アンドン	a ng d o ng
否応	イヤオウ	i y a o u
足助	アスケ	a s u k e
足寄	アショロ	a sh o r o
矢落	ヤオチ	y a o ch i
譲ん	ユズン	y u z u ng
展延	テンエン	t e ng e ng
頑愚	ガング	g a ng g u
独歩	ドッポ	d o q p o
菱江	ヒシエ	h i sh i e
独狐	トッコ	t o q k o
衒え	テラエ	t e r a e
足湯	アシユ	a sh i y u
頓悟	トンゴ	t o ng g o
故買	コバイ	k o b a i
多年	タネン	t a n e ng
足羽	アスワ	a s u w a
塩部	シオベ	sh i o b e
新曽	ニイゾ	n i i z o
麦雨	バクウ	b a k u u
勇武	ユウブ	y u u b u
華鈴	カリン	k a r i ng
杉井	スギイ	s u g i i
津秋	ツアキ	ts u a k i
跡地	アトチ	a t o ch i
纏お	マトオ	m a t o o
八辺	ヤッペ	y a q p e
麦生	ムギウ	m u g i u
峻輝	シュンキ	sh u ng k i
津越	ツゴエ	ts u g o e
吠陀	ベーダ	b e long d a
門衛	モンエイ	m o ng e i
路傍	ロボウ	r o b o u
門派	モンパ	m o ng p a
路恵	ミチエ	m i ch i e
門書	モンショ	m o ng sh o
稗田	ヒエタ	h i e t a
華奢	キャシャ	k y a sh a
門尾	カドオ	k a d o o
華厳	ケゴン	k e g o ng
門前	モンゼ	m o ng z e
動ぜ	ドウゼ	d o u z e
長部	オサベ	o s a b e
択ば	エラバ	e r a b a
稚魚	チギョ	ch i g y o
頭巾	ズキン	z u k i ng
披閲	ヒエツ	h i e ts u
矢声	ヤゴエ	y a g o e
天狗	テング	t e ng g u
猪篠	イザサ	i z a s a
踊る	オドル	o d o r u
表意	ヒョウイ	h y o u i
譏っ	ソシッ	s o sh i q
お釣	オツリ	o ts u r i
吟味	ギンミ	g i ng m i
多数	タスウ	t a s u u
織砂	オリサ	o r i s a
威さ	オドサ	o d o s a
洲江	スノエ	s u n o e
吟ず	ギンズ	g i ng z u
塩田	エンデン	e ng d e ng
火浦	ヒウラ	h i u r a
お萩	オハギ	o h a g i
猶も	ナオモ	n a o m o
杓え	シャクエ	sh a k u e
頭重	ズオモ	z u o m o
猿尾	サルオ	s a r u o
火桶	ヒオケ	h i o k e
塩津	シオツ	sh i o ts u
お節	オセチ	o s e ch i
塩梅	アンバイ	a ng b a i
種生	タナオ	t a n a o
抱く	イダク	i d a k u
君恩	クンオン	k u ng o ng
安黒	アグロ	a g u r o
玄田	ゲンダ	g e ng d a
お櫃	オヒツ	o h i ts u
繁雄	シゲオ	sh i g e o
塩子	シオゴ	sh i o g o
忌部	イムベ	i m u b e
喋っ	シャベッ	sh a b e q
お平	オヒラ	o h i r a
八出	ヤイデ	y a i d e
裁い	サバイ	s a b a i
芋場	イモバ	i m o b a
稲生	イナオイ	i n a o i
天座	アマザ	a m a z a
繁務	ハンム	h a ng m u
着衣	チャクイ	ch a k u i
芋煮	イモニ	i m o n i
八つ	ヤッツ	y a q ts u
活魚	イケウオ	i k e u o
全音	ゼンオン	z e ng o ng
鎮護	チンゴ	ch i ng g o
お下	オシモ	o sh i m o
お七	オシチ	o sh i ch i
塗絵	ヌリエ	n u r i e
縷陳	ルチン	r u ch i ng
喜入	キイレ	k i i r e
装い	ヨソイ	y o s o i
沢海	ソウミ	s o u m i
入部	イリブ	i r i b u
躄れ	イザレ	i z a r e
丹下	タンゲ	t a ng g e
入歯	イレバ	i r e b a
段田	ダンダ	d a ng d a
縫目	ヌイメ	n u i m e
木賃	キチン	k i ch i ng
入子	イレコ	i r e k o
孟母	モウボ	m o u b o
永眠	エイミン	e i m i ng
段歩	タンブ	t a ng b u
押場	オシバ	o sh i b a
題画	ダイガ	d a i g a
裏野	ウラノ	u r a n o
班渓	バンケ	b a ng k e
夜中	ヤチュウ	y a ch u u
募ん	ツノン	ts u n o ng
募兵	ボヘイ	b o h e i
喪中	モチュウ	m o ch u u
居舟	イフネ	i f u n e
没せ	ボッセ	b o q s e
喫さ	キッサ	k i q s a
夜半	ヤハン	y a h a ng
季春	キシュン	k i sh u ng
来尾	キタオ	k i t a o
勢家	セイケ	s e i k e
担う	ニナウ	n i n a u
諺文	オンモン	o ng m o ng
顕家	アキイエ	a k i i e
願う	ネガウ	n e g a u
軋っ	キシッ	k i sh i q
鋳掛	イカケ	i k a k e
諸江	モロエ	m o r o e
真鯉	マコイ	m a k o i
久住	クジュウ	k u j u u
縁遠	エンドオ	e ng d o o
寝棺	ネカン	n e k a ng
包ん	ツツン	ts u ts u ng
類せ	ルイセ	r u i s e
寝汗	ネアセ	n e a s e
類句	ルイク	r u i k u
大麻	オオアサ	o o a s a
夜明	ヨアケ	y o a k e
類書	ルイショ	r u i sh o
汐田	シオタ	sh i o t a
嗣夫	ツグオ	ts u g u o
銘茶	メイチャ	m e i ch a
寝相	ネゾウ	n e z o u
居尻	イジリ	i j i r i
塁打	ルイダ	r u i d a
軍手	グンテ	g u ng t e
風び	フウビ	f u u b i
諷諭	フウユ	f u u y u
莇野	アゾノ	a z o n o
銃後	ジュウゴ	j u u g o
模様	モヨウ	m o y o u
是認	ゼニン	z e n i ng
理財	リザイ	r i z a i
荻須	オギス	o g i s u
荻野	オギノ	o g i n o
育っ	ソダッ	s o d a q
風波	フウハ	f u u h a
招い	マネイ	m a n e i
真苗	マナエ	m a n a e
悼む	イタム	i t a m u
銀波	ギンパ	g i ng p a
芦生	アシオイ	a sh i o i
拝み	オガミ	o g a m i
育児	イクジ	i k u j i
悶え	モダエ	m o d a e
大頓	オオトン	o o t o ng
風雲	フウウン	f u u u ng
察さ	サッサ	s a q s a
空母	クウボ	k u u b o
荻生	オギュウ	o g y u u
兄貴	アニキ	a n i k i
擦っ	コスッ	k o s u q
察知	サッチ	s a q ch i
育種	イクシュ	i k u sh u
緩う	ユルウ	y u r u u
括ん	ククン	k u k u ng
拭う	ヌグウ	n u g u u
汗し	アセシ	a s e sh i
編著	ヘンチョ	h e ng ch o
残土	ザンド	z a ng d o
襟花	エリカ	e r i k a
穿と	ウガト	u g a t o
鈴江	スズエ	s u z u e
激っ	タギッ	t a g i q
大雨	オオアメ	o o a m e
悲痛	ヒツウ	h i ts u u
編戸	アミド	a m i d o
澪子	ミオコ	m i o k o
北京	ペキン	p e k i ng
志願	シガン	sh i g a ng
瑞雲	ズイウン	z u i u ng
鈍し	ドンシ	d o ng sh i
汗す	アセス	a s e s u
房雄	フサオ	f u s a o
瑪瑙	メノウ	m e n o u
鈍い	ニブイ	n i b u i
嘘字	ウソジ	u s o j i
瓜巣	ウリス	u r i s u
鵜殿	ウドノ	u d o n o
寵愛	チョウアイ	ch o u a i
突ぱ	ツッパ	ts u q p a
汗疣	アセモ	a s e m o
上部	ウワベ	u w a b e
鵜坂	ウサカ	u s a k a
胃壁	イヘキ	i h e k i
上輪	アゲワ	a g e w a
尾鰭	オビレ	o b i r e
寸書	スンショ	s u ng sh o
尾駮	オブチ	o b u ch i
弑せ	シイセ	sh i i s e
寸話	スンワ	s u ng w a
億劫	オックウ	o q k u u
尾附	オヅク	o z u k u
巡ら	ジュンラ	j u ng r a
緒沢	オザワ	o z a w a
名親	ナオヤ	n a o y a
尾関	オゼキ	o z e k i
東雲	アズモ	a z u m o
横尾	ヨコオ	y o k o o
荷馬	ニウマ	n i u m a
甘水	アモズ	a m o z u
甘煮	ウマニ	u m a n i
潤も	ウルモ	u r u m o
弁疏	ベンソ	b e ng s o
名簿	メイボ	m e i b o
木樋	キトイ	k i t o i
弁務	ベンム	b e ng m u
潤っ	ウルオッ	u r u o q
応挙	オウキョ	o u k y o
対す	タイス	t a i s u
上見	ウワミ	u w a m i
傳え	ツタエ	ts u t a e
悪運	アクウン	a k u u ng
上蛇	ジョウジャ	j o u j a
乗務	ジョウム	j o u m u
梶江	カジエ	k a j i e
春雲	シュンウン	sh u ng u ng
傍陽	ソエヒ	s o e h i
金間	キンマ	k i ng m a
偽電	ギデン	g i d e ng
悪漢	アッカン	a q k a ng
偽悪	ギアク	g i a k u
輪ね	リンネ	r i ng n e
偶詠	グウエイ	g u u e i
輪厚	ワアツ	w a a ts u
綾衣	アヤギ	a y a g i
悪戸	アクド	a k u d o
持尾	モチオ	m o ch i o
撮ん	ツマン	ts u m a ng
有河	アルガ	a r u g a
戸磯	トイソ	t o i s o
乙種	オツシュ	o ts u sh u
有毛	アリゲ	a r i g e
江下	エシタ	e sh i t a
金生	カナウ	k a n a u
輸銀	ユギン	y u g i ng
尾白	オジロ	o j i r o
安然	アンネン	a ng n e ng
致せ	イタセ	i t a s e
尾沼	オヌマ	o n u m a
忠庵	チュウアン	ch u u a ng
省い	ハブイ	h a b u i
参れ	マイレ	m a i r e
春画	シュンガ	sh u ng g a
大道	オオドウ	o o d o u
倦む	アグム	a g u m u
封ぜ	フウゼ	f u u z e
廟宇	ビョウウ	b y o u u
替地	カエチ	k a e ch i
春浦	シュンポ	sh u ng p o
つ折	ツオリ	ts u o r i
尾垂	オダレ	o d a r e
倒せ	タオセ	t a o s e
大跡	オオアト	o o a t o
大足	オオアシ	o o a sh i
漁父	ギョフ	g y o f u
網田	アミタ	a m i t a
大越	オオコエ	o o k o e
四会	ヨツエ	y o ts u e
堀津	ホッツ	h o q ts u
網戸	アジト	a j i t o
漁ろ	アサロ	a s a r o
網干	アボシ	a b o sh i
堀江	ホリエ	h o r i e
快癒	カイユ	k a i y u
江住	エスミ	e s u m i
江別	エベツ	e b e ts u
江刺	エサシ	e s a sh i
悦治	エツジ	e ts u j i
梅治	ウメジ	u m e j i
悦哉	エツヤ	e ts u y a
巨歩	キョホ	k y o h o
乳井	ニュウイ	n y u u i
江口	エグチ	e g u ch i
射水	イミズ	i m i z u
女衒	ゼゲン	z e g e ng
生湯	ウブユ	u b u y u
忽諸	コッショ	k o q sh o
野秋	ノアキ	n o a k i
飯合	イイゴウ	i i g o u
飯喰	イックイ	i q k u i
飯岡	イイオカ	i i o k a
生簀	イケス	i k e s u
野浦	ノウラ	n o u r a
歪も	イガモ	i g a m o
挑み	イドミ	i d o m i
奴隷	ドレイ	d o r e i
飯降	イフリ	i f u r i
挙る	アガル	a g a r u
歩廊	ホロウ	h o r o u
板場	イタバ	i t a b a
樹齢	ジュレイ	j u r e i
辻井	ツジイ	ts u j i i
滅す	メッス	m e q s u
江持	エモチ	e m o ch i
生野	イカノ	i k a n o
怖ぅ	コワゥ	k o w a u
名内	ナウチ	n a u ch i
誘こ	オビコ	o b i k o
旅費	リョヒ	r y o h i
保有	ホユウ	h o y u u
臭う	クサウ	k u s a u
溢れ	アフレ	a f u r e
迎車	ゲイシャ	g e i sh a
絶家	ゼッケ	z e q k e
保っ	タモッ	t a m o q
挙句	アゲク	a g e k u
挙手	キョシュ	k y o sh u
春夢	シュンム	sh u ng m u
江永	エナガ	e n a g a
安室	アズチ	a z u ch i
摩っ	サスッ	s a s u q
重苦	ジュウク	j u u k u
産女	ウブメ	u b u m e
序品	ジョボン	j o b o ng
憂ひ	ウレヒ	u r e h i
序で	ツイデ	ts u i d e
姉茶	アネチャ	a n e ch a
憂ふ	ウレフ	u r e f u
便座	ベンザ	b e ng z a
木売	キウリ	k i u r i
能家	ノウゲ	n o u g e
小さ	チイサ	ch i i s a
産着	ウブギ	u b u g i
絵絹	エギヌ	e g i n u
絵筆	エフデ	e f u d e
月尾	ツキオ	ts u k i o
絵巻	エマキ	e m a k i
返そ	カエソ	k a e s o
上擦	ウワズ	u w a z u
絵具	エノグ	e n o g u
搾っ	シボッ	sh i b o q
絵付	エツケ	e ts u k e
能部	ノンベ	n o ng b e
尖ん	トガン	t o g a ng
憂わ	ウレワ	u r e w a
笑子	エミコ	e m i k o
笑窪	エクボ	e k u b o
憂世	ウキヨ	u k i y o
笑羽	エミハ	e m i h a
因循	インジュン	i ng j u ng
姉御	アネゴ	a n e g o
目偏	メヘン	m e h e ng
桃雄	モモオ	m o m o o
餌食	エジキ	e j i k i
団野	ダンノ	d a ng n o
五十	ゴジッ	g o j i q
十一	ジュウイッ	j u u i q
鮎瀬	アユセ	a y u s e
魯魚	ロギョ	r o g y o
魯鈍	ロドン	r o d o ng
大壇	オオダン	o o d a ng
釈家	シャッケ	sh a q k e
采女	ウネメ	u n e m e
田岡	タオカ	t a o k a
易者	エキシャ	e k i sh a
援軍	エングン	e ng g u ng
筆甫	ヒッポ	h i q p o
え目	エノメ	e n o m e
一事	イチジ	i ch i j i
握っ	ニギッ	n i g i q
茶庭	チャテイ	ch a t e i
湯淺	ユアサ	y u a s a
茶売	チャウリ	ch a u r i
田歌	タウタ	t a u t a
筆記	ヒッキ	h i q k i
田海	タウミ	t a u m i
魔神	マジン	m a j i ng
一員	イチイン	i ch i i ng
揚縁	アゲエン	a g e e ng
魔法	マホウ	m a h o u
一夜	イチヤ	i ch i y a
一天	イッテン	i q t e ng
追訴	ツイソ	ts u i s o
一寸	イッスン	i q s u ng
追貝	オッカイ	o q k a i
詠歎	エイタン	e i t a ng
一心	イッシン	i q sh i ng
酒悦	シュエツ	sh u e ts u
明野	アケノ	a k e n o
井丸	イマル	i m a r u
枝葉	エダハ	e d a h a
図面	ズメン	z u m e ng
井堀	イボリ	i b o r i
枝野	エダノ	e d a n o
佐弁	サベン	s a b e ng
江花	エバナ	e b a n a
井延	イノブ	i n o b u
井早	イハヤ	i h a y a
芸妓	ゲイギ	g e i g i
根芋	ネイモ	n e i m o
卯吉	ウキチ	u k i ch i
井芹	イセリ	i s e r i
井越	イゴシ	i g o sh i
都岡	ツオカ	ts u o k a
一献	イッコン	i q k o ng
捕虜	ホリョ	h o r y o
証そ	アカソ	a k a s o
郷田	ゴウダ	g o u d a
芹井	セリイ	s e r i i
明田	アケタ	a k e t a
市毛	イチゲ	i ch i g e
浮び	ウカビ	u k a b i
小向	オブケ	o b u k e
部内	ブナイ	b u n a i
鬼津	オニヅ	o n i z u
日医	ニチイ	n i ch i i
大瓶	オオビン	o o b i ng
邪論	ジャロン	j a r o ng
邪悪	ジャアク	j a a k u
温顔	オンガン	o ng g a ng
一通	イッツウ	i q ts u u
交喙	イスカ	i s u k a
平雄	ヒラオ	h i r a o
小塚	オツカ	o ts u k a
自尊	ジソン	j i s o ng
鬼屋	オニヤ	o n i y a
温ん	ヌルン	n u r u ng
馬琴	バキン	b a k i ng
千畝	チウネ	ch i u n e
捩っ	スジッ	s u j i q
丁未	テイミ	t e i m i
似顔	ニガオ	n i g a o
細江	ホソエ	h o s o e
千結	チユイ	ch i y u i
京枝	キョウエ	k y o u e
小安	オヤス	o y a s u
浮名	ウキナ	u k i n a
遺骨	イコツ	i k o ts u
正手	ショウデ	sh o u d e
渡江	トノエ	t o n o e
馬齢	バレイ	b a r e i
鬱憤	ウップン	u q p u ng
透し	トオシ	t o o sh i
紡い	ツムイ	ts u m u i
透す	トオス	t o o s u
伝授	デンジュ	d e ng j u
坊や	ボウヤ	b o u y a
伝右	デンネ	d e ng n e
大峠	オオタオ	o o t a o
上乙	ウエオツ	u e o ts u
小峯	オミネ	o m i n e
欧米	オウベイ	o u b e i
上丙	ウエヘイ	u e h e i
小貫	オヌキ	o n u k i
駄馬	ダウマ	d a u m a
英逸	エイイツ	e i i ts u
駅員	エキイン	e k i i ng
万延	マンエン	m a ng e ng
親子	オヤコ	o y a k o
駅路	エキロ	e k i r o
畔名	アゼナ	a z e n a
親田	オヤダ	o y a d a
息も	イキモ	i k i m o
通が	ツウガ	ts u u g a
半音	ハンオン	h a ng o ng
土偶	ドグウ	d o g u u
卒し	ソッシ	s o q sh i
卒す	ソッス	s o q s u
地雨	ジアメ	j i a m e
小萱	オガヤ	o g a y a
怨む	ウラム	u r a m u
遠野	トオノ	t o o n o
通ず	ツウズ	ts u u z u
留萌	ルモイ	r u m o i
朝湯	アサユ	a s a y u
池部	イケベ	i k e b e
遠縁	トオエン	t o o e ng
遠目	トオメ	t o o m e
池間	イケマ	i k e m a
遠慮	エンリョ	e ng r y o
土宇	ツチウ	ts u ch i u
畝傍	ウネビ	u n e b i
海辺	ウミベ	u m i b e
畝田	ウネダ	u n e d a
海野	ウミノ	u m i n o
栗生	クリオ	k u r i o
憩わ	イコワ	i k o w a
畝野	ウネノ	u n e n o
違え	タガエ	t a g a e
渇せ	カッセ	k a q s e
通所	ツウショ	ts u u sh o
畦布	アゼフ	a z e f u
大沖	オオオキ	o o o k i
浸っ	ヒタッ	h i t a q
苗穂	ナエボ	n a e b o
米夫	ヨネオ	y o n e o
苗間	ナエマ	n a e m a
日浅	ヒアサ	h i a s a
妖雲	ヨウウン	y o u u ng
帯地	オビジ	o b i j i
清雄	キヨオ	k i y o o
日田	ニッタ	n i q t a
小揚	コアゲ	k o a g e
通院	ツウイン	ts u u i ng
平叙	ヘイジョ	h e i j o
任務	ニンム	n i ng m u
土民	ドミン	d o m i ng
懸念	ケネン	k e n e ng
籾井	モミイ	m o m i i
今宵	コヨイ	k o y o i
納所	ナッショ	n a q sh o
恋せ	コイセ	k o i s e
粒江	ツブエ	ts u b u e
三入	ミイリ	m i i r i
道二	ドウニ	d o u n i
発す	ハッス	h a q s u
紅蓮	グレン	g u r e ng
恋愛	レンアイ	r e ng a i
恋慕	レンボ	r e ng b o
疎む	ウトム	u t o m u
癒そ	イヤソ	i y a s o
日辺	ニッペ	n i q p e
疎通	ソツウ	s o ts u u
液肥	エキヒ	e k i h i
添田	ソエタ	s o e t a
圧勝	アッショウ	a q sh o u
代目	ダイメ	d a i m e
圧延	アツエン	a ts u e ng
淀江	ヨドエ	y o d o e
地歌	ジウタ	j i u t a
仏社	ブッシャ	b u q sh a
三甘	ミアマ	m i a m a
淵江	フチエ	f u ch i e
疼こ	ウズコ	u z u k o
粟国	アグニ	a g u n i
歌司	ウタシ	u t a sh i
小橋	オバセ	o b a s e
糸魚	イトヨ	i t o y o
疾駆	シック	sh i q k u
糸洲	イトス	i t o s u
仕上	シアガ	sh i a g a
遇す	グウス	g u u s u
遅鈍	チドン	ch i d o ng
淡き	アワキ	a w a k i
遅出	オソデ	o s o d e
粟賀	アワガ	a w a g a
痒い	カユイ	k a y u i
在野	ザイヤ	z a i y a
地声	ジゴエ	j i g o e
小浮	コオケ	k o o k e
びんた	ビンタ	b i ng t a
ぴんと	ピント	p i ng t o
ぬえよ	ヌエヨ	n u e y o
下馬尾	ゲバオ	g e b a o
びびん	ビビン	b i b i ng
ぬえれ	ヌエレ	n u e r e
ノイズ	ノイズ	n o i z u
付きゃ	ツキャ	ts u k y a
ふかあ	フカア	f u k a a
宇奈根	ウナネ	u n a n e
推せよ	オセヨ	o s e y o
推せる	オセル	o s e r u
ノック	ノック	n o q k u
妬きゃ	ヤキャ	y a k y a
シビア	シビア	sh i b i a
宇多院	ウダイン	u d a i ng
糶りゃ	セリャ	s e r y a
宣りゃ	ノリャ	n o r y a
小江尾	コエビ	k o e b i
ネポン	ネポン	n e p o ng
ノース	ノース	n o long s u
気負わ	キオワ	k i o w a
打てよ	ウテヨ	u t e y o
ネピア	ネピア	n e p i a
ノーマ	ノーマ	n o long m a
やばう	ヤバウ	y a b a u
小生田	オブタ	o b u t a
添えよ	ソエヨ	s o e y o
添える	ソエル	s o e r u
過ぎっ	ヨギッ	y o g i q
イボタ	イボタ	i b o t a
ひりゃ	ヒリャ	h i r y a
打てれ	ウテレ	u t e r e
小田野	オタノ	o t a n o
ネグん	ネグン	n e g u ng
うだり	ウダリ	u d a r i
たおろ	タオロ	t a o r o
ぬぎゃ	ヌギャ	n u g y a
仰ぎゃ	アオギャ	a o g y a
御布施	オフセ	o f u s e
うかせ	ウカセ	u k a s e
仰向い	アオムイ	a o m u i
今朝雄	ケサオ	k e s a o
ザール	ザール	z a long r u
イサザ	イサザ	i s a z a
ネエヤ	ネエヤ	n e e y a
ヌード	ヌード	n u long d o
伊与戸	イヨト	i y o t o
宇留部	ウルベ	u r u b e
仇しょ	アダショ	a d a sh o
ヌゾー	ヌゾー	n u z o long
ふみゃ	フミャ	f u m y a
米渡尾	メドオ	m e d o o
三重田	ミエダ	m i e d a
消えろ	キエロ	k i e r o
宇納間	ウナマ	u n a m a
伊佐布	イサブ	i s a b u
怯えん	オビエン	o b i e ng
歌えん	ウタエン	u t a e ng
そみゃ	ソミャ	s o m y a
ヌガー	ヌガー	n u g a long
いろは	イロハ	i r o h a
大江戸	オオエド	o o e d o
いろど	イロド	i r o d o
伊勢大	イセオオ	i s e o o
仁江戸	ニエド	n i e d o
伊勢屋	イセヤ	i s e y a
伊勢根	イセネ	i s e n e
言寄っ	イイヨッ	i i y o q
サーモ	サーモ	s a long m o
ひねっ	ヒネッ	h i n e q
そっ歯	ソッパ	s o q p a
サーブ	サーブ	s a long b u
ハッジ	ハッジ	h a q j i
仁宇布	ニウプ	n i u p u
ひどっ	ヒドッ	h i d o q
伊津部	イツブ	i ts u b u
仁世宇	ニセウ	n i s e u
シース	シース	sh i long s u
シート	シート	sh i long t o
伊茶仁	イチャニ	i ch a n i
伊藤伊	イトウイ	i t o u i
希里江	キリエ	k i r i e
そぐっ	ソグッ	s o g u q
大油子	オユゴ	o y u g o
いらち	イラチ	i r a ch i
土佐絵	トサエ	t o s a e
アレム	アレム	a r e m u
ヌイユ	ヌイユ	n u i y u
遣れん	ヤレン	y a r e ng
そいつ	ソイツ	s o i ts u
英賀保	アガホ	a g a h o
息吹く	イブク	i b u k u
這えろ	ハエロ	h a e r o
がたぅ	ガタゥ	g a t a u
不入り	フイリ	f u i r i
浴びる	アビル	a b i r u
浴びよ	アビヨ	a b i y o
浴びせ	アビセ	a b i s e
ニーナ	ニーナ	n i long n a
ニーズ	ニーズ	n i long z u
がなっ	ガナッ	g a n a q
ちえこ	チエコ	ch i e k o
ジニア	ジニア	j i n i a
芽立っ	メダッ	m e d a q
宇都美	ウツミ	u ts u m i
ジミー	ジミー	j i m i long
うふふ	ウフフ	u f u f u
遷しゃ	ウツシャ	u ts u sh a
宇野気	ウノケ	u n o k e
せびっ	セビッ	s e b i q
根問い	ネドイ	n e d o i
呼びゃ	ヨビャ	y o b y a
芽生え	メバエ	m e b a e
千重里	チエリ	ch i e r i
祝えん	イワエン	i w a e ng
かむっ	カムッ	k a m u q
せせっ	セセッ	s e s e q
エゴマ	エゴマ	e g o m a
ハネー	ハネー	h a n e long
芽吹い	メブイ	m e b u i
せがん	セガン	s e g a ng
かみゃ	カミャ	k a m y a
ちぬっ	チヌッ	ch i n u q
不味い	マズイ	m a z u i
エステ	エステ	e s u t e
がりゃ	ガリャ	g a r y a
ハノイ	ハノイ	h a n o i
いびろ	イビロ	i b i r o
サリー	サリー	s a r i long
小野津	オノツ	o n o ts u
ジレー	ジレー	j i r e long
いはほ	イハホ	i h a h o
エチル	エチル	e ch i r u
にこん	ニコン	n i k o ng
捨てん	ステン	s u t e ng
ジーク	ジーク	j i long k u
ギャグ	ギャグ	g y a g u
羽織ら	ハオラ	h a o r a
祖父江	ソフエ	s o f u e
不得手	フエテ	f u e t e
ジーマ	ジーマ	j i long m a
サモア	サモア	s a m o a
ギャロ	ギャロ	g y a r o
気受け	キウケ	k i u k e
アテネ	アテネ	a t e n e
アテろ	アテロ	a t e r o
サマー	サマー	s a m a long
エナ子	エナコ	e n a k o
鬼篭野	オロノ	o r o n o
サボっ	サボッ	s a b o q
っきり	ッキリ	q k i r i
アダム	アダム	a d a m u
ってか	ッテカ	q t e k a
佐世男	サセオ	s a s e o
っぷり	ップリ	q p u r i
っぽく	ッポク	q p o k u
ぷいと	プイト	p u i t o
うれろ	ウレロ	u r e r o
へあが	ヘアガ	h e a g a
いつよ	イツヨ	i ts u y o
思しゃ	オボシャ	o b o sh a
思えん	オモエン	o m o e ng
井手上	イデウエ	i d e u e
千代江	チヨエ	ch i y o e
サヌア	サヌア	s a n u a
つえ子	ツエコ	ts u e k o
アスノ	アスノ	a s u n o
佐志生	サシウ	s a sh i u
へしお	ヘシオ	h e sh i o
すっご	スッゴ	s u q g o
アジズ	アジズ	a j i z u
佐江戸	サエド	s a e d o
スコア	スコア	s u k o a
見抜い	ミヌイ	m i n u i
宇久須	ウグス	u g u s u
井之上	イノウエ	i n o u e
煮え湯	ニエユ	n i e y u
へばっ	ヘバッ	h e b a q
気に入	キニイ	k i n i i
つがっ	ツガッ	ts u g a q
五野井	ゴノイ	g o n o i
えづき	エヅキ	e z u k i
えどら	エドラ	e d o r a
えばり	エバリ	e b a r i
えびの	エビノ	e b i n o
湯引い	ユビイ	y u b i i
えみし	エミシ	e m i sh i
酔えろ	ヨエロ	y o e r o
アコム	アコム	a k o m u
えりも	エリモ	e r i m o
五百瀬	イモゼ	i m o z e
湯浴み	ユアミ	y u a m i
ぺてん	ペテン	p e t e ng
打合っ	ウチアッ	u ch i a q
エホバ	エホバ	e h o b a
見張っ	ミハッ	m i h a q
ハーグ	ハーグ	h a long g u
ハード	ハード	h a long d o
揺すっ	ユスッ	y u s u q
江無田	エムタ	e m u t a
田尾寺	タオジ	t a o j i
江瀬美	エセビ	e s e b i
田出井	タデイ	t a d e i
小久米	オグメ	o g u m e
じわっ	ジワッ	j i w a q
見好い	ミヨイ	m i y o i
やい子	ヤイコ	y a i k o
五位野	ゴイノ	g o i n o
五位田	ゴイデ	g o i d e
給びゃ	タビャ	t a b y a
エルグ	エルグ	e r u g u
エルナ	エルナ	e r u n a
スパン	スパン	s u p a ng
右犠飛	ウギヒ	u g i h i
ひえれ	ヒエレ	h i e r e
ひえよ	ヒエヨ	h i e y o
ニオブ	ニオブ	n i o b u
エルメ	エルメ	e r u m e
エレキ	エレキ	e r e k i
区切っ	クギッ	k u g i q
目明き	メアキ	m e a k i
茶請け	チャウケ	ch a u k e
ワープ	ワープ	w a long p u
ぱくん	パクン	p a k u ng
里緒菜	リオナ	r i o n a
ねいら	ネイラ	n e i r a
目盛っ	メモッ	m e m o q
エレラ	エレラ	e r e r a
スペア	スペア	s u p e a
じまお	ジマオ	j i m a o
エロス	エロス	e r o s u
バザー	バザー	b a z a long
目見え	メミエ	m e m i e
上意江	ジョウイエ	j o u i e
じじい	ジジイ	j i j i i
バシー	バシー	b a sh i long
ローブ	ローブ	r o long b u
ロード	ロード	r o long d o
